name,description,price,address,locality,region
134 Evergreen Place,134 Evergreen Place,Undisclosed,"134 Evergreen Place #303, East Orange, NJ", East Orange,134 Evergreen Place
Family Dollar Strip Center,Contact for pricing,Undisclosed,Family Dollar Strip Center, East Orange, NJ
The Crossings at Brick Church Station,Contact for pricing,Undisclosed,The Crossings at Brick Church Station, East Orange, NJ
89 Dodd St,Contact for pricing,Undisclosed,89 Dodd St, East Orange, NJ
23 S Essex Ave,"1,490 SF Retail Building Offered in Orange, NJ",undisclosed,23 S Essex Ave,Orange,New Jersey
242 Main St,"3,120 SF Retail Building Offered in Orange, NJ",undisclosed,242 Main St,Orange,New Jersey
100 Main St,"1,000 SF Multifamily Building Offered in Orange, NJ",undisclosed,100 Main St,Orange,New Jersey
613-623 Central Ave,"5,000 SF Retail Building Offered in East Orange, NJ",undisclosed,613-623 Central Ave,East Orange,New Jersey
Sussex Plaza Shopping Center," 11,178 SF Building Offered in East Orange, NJ",undisclosed,20-50 Sussex Ave,East Orange,New Jersey
Irvington Storefront - 34 Rosehill Place,Contact for pricing,Undisclosed,Irvington Storefront - 34 Rosehill Place, Irvington, NJ
"±12,100 SF Commercial Lot",Contact for pricing,Undisclosed,"±12,100 SF Commercial Lot", Irvington, NJ
947 Clinton Avenue,Contact for pricing,Undisclosed,947 Clinton Avenue, Irvington, NJ
12 Marshall St Irvington-Retail - For Rent,"1100 SF for rent in Irvington NJ offered at $1,788  USD /mo",19.50  USD  SF/YR USD,12 Marshall St,Irvington,New Jersey
1057-1059 Springfield Ave Irvington-Retail - For Rent,3693 SF for rent in Irvington NJ  ,,1057-1059 Springfield Ave,Irvington,New Jersey
1545 Springfield Ave Maplewood-Retail - For Rent,3864 SF for rent in Maplewood NJ  ,,1545 Springfield Ave,Maplewood,New Jersey
1102 Clinton Ave Irvington-Retail - For Rent,6556 SF for rent in Irvington NJ  ,,1102 Clinton Ave,Irvington,New Jersey
163-171 East Front Street,Contact for pricing,Undisclosed,163-171 East Front Street, Plainfield, NJ
1300 S 2nd St,Contact for pricing,Undisclosed,1300 S 2nd St, Plainfield, NJ
1314-1326 South Ave,$24.00/SF/YR,Undisclosed,1314-1326 South Ave, Plainfield, NJ
1301 West Front Street,"Retail • 1 space available • 3,675 sq. ft.",Undisclosed Rate,"1301 W Front St Plainfield, NJ 07063",1301 W Front St Plainfield, NJ 07063
Park Madison Complex,"Retail • 2 spaces available • 1,732 sq. ft. - 2,173 sq. ft.",Undisclosed Rate,"211-215 West Front Street Plainfield, NJ 07060",211-215 West Front Street Plainfield, NJ 07060
1369 South Avenue,"Retail • 1 space available • 1,700 sq. ft.",Undisclosed Rate,"1369 South Ave Plainfield, NJ 07062",1369 South Ave Plainfield, NJ 07062
100 S Washington Ave Dunellen-Retail - For Rent,4000 SF for rent in Dunellen NJ  ,,100 S Washington Ave,Dunellen,New Jersey
330 South Ave Fanwood-Office/Retail - For Rent,"12000 SF for rent in Fanwood NJ offered at $29,000  USD /mo",29.00  USD  SF/YR USD,330 South Ave,Fanwood,New Jersey
Glenpointe Centre East,$37.50/SF/YR,Undisclosed,Glenpointe Centre East, Teaneck, NJ
Glenpointe Centre West,$37.50/SF/YR,Undisclosed,Glenpointe Centre West, Teaneck, NJ
764 New Bridge Rd,Contact for pricing,Undisclosed,764 New Bridge Rd, Teaneck, NJ
Carriage Four Office Center,Contact for pricing,Undisclosed,Carriage Four Office Center, Teaneck, NJ
315 Cedar Ln,Contact for pricing,Undisclosed,315 Cedar Ln, Teaneck, NJ
The Atrium at Glenpointe,$35.00/SF/YR,Undisclosed,The Atrium at Glenpointe, Teaneck, NJ
560-570 Cedar Ln Teaneck-Retail - For Rent,"1300 SF for rent in Teaneck NJ offered at $3,792  USD /mo",35.00  USD  SF/YR USD,560-570 Cedar Ln,Teaneck,New Jersey
383-389 Main St Hackensack-Retail - For Rent,"3500 SF for rent in Hackensack NJ offered at $6,417  USD /mo",22.00  USD  SF/YR USD,383-389 Main St,Hackensack,New Jersey
62 E State Rt 4 Englewood-Retail - For Rent,30000 SF for rent in Englewood NJ  ,,62 E State Rt 4,Englewood,New Jersey
23-29 Nathaniel Pl Englewood-Retail - For Rent,2261 SF for rent in Englewood NJ  ,,23-29 Nathaniel Pl,Englewood,New Jersey
28-46 Dean St Englewood-Retail - For Rent,2506 SF for rent in Englewood NJ  ,,28-46 Dean St,Englewood,New Jersey
47 W Palisade Ave Englewood-Retail - For Rent,11516 SF for rent in Englewood NJ  ,,47 W Palisade Ave,Englewood,New Jersey
830 River Rd New Milford-Office/Retail - For Rent,6953 SF for rent in New Milford NJ  ,,830 River Rd,New Milford,New Jersey
"150 River St Hackensack-Office/Retail, Retail - For Rent",16026 SF for rent in Hackensack NJ  ,,150 River St,Hackensack,New Jersey
Executive Hill Office Park,$23.50/SF/YR,Undisclosed,Executive Hill Office Park, West Orange, NJ
Offices at Crystal Lake,$33.00/SF/YR,Undisclosed,Offices at Crystal Lake, West Orange, NJ
271 Mt. Pleasant Avenue,$15.00/SF/YR,Undisclosed,271 Mt. Pleasant Avenue, West Orange, NJ
Mount Pleasant Plaza,Contact for pricing,Undisclosed,Mount Pleasant Plaza, West Orange, NJ
278-282 Main Street,Contact for pricing,Undisclosed,278-282 Main Street, West Orange, NJ
80 Main Street,Contact for pricing,Undisclosed,80 Main Street, West Orange, NJ
216 Main Street,Contact for pricing,Undisclosed,216 Main Street, West Orange, NJ
457 Pleasant Valley,"Retail • Single tenant • 1,659 sq. ft.",Undisclosed Rate,"457 Pleasant Valley Way West Orange, NJ 07052",457 Pleasant Valley Way West Orange, NJ 07052
Essex Green Town Center,"Retail • 9 spaces available • 1,211 sq. ft. - 10,000 sq. ft.",Undisclosed Rate,"495 Prospect Avenue West Orange, NJ 07052",495 Prospect Avenue West Orange, NJ 07052
216 Main Street,"Retail • Single tenant • 2,400 sq. ft.",Undisclosed Rate,"216 Main St West Orange, NJ 07052",216 Main St West Orange, NJ 07052
369-373 Bloomfield Ave Montclair-Retail - For Rent,"1569 SF for rent in Montclair NJ offered at $6,014  USD /mo",46.00  USD  SF/YR USD,369-373 Bloomfield Ave,Montclair,New Jersey
555 Northfield Avenue #1 Retail West Orange-Retail - For Rent,"1785 SF for rent in West Orange NJ offered at $6,396  USD /mo",43.00  USD  SF/YR USD,555 Northfield Avenue #1 Retail,West Orange,New Jersey
513 Stetson St Orange-Office/Retail - For Rent,"1808 SF for rent in Orange NJ offered at $3,500  USD /mo",23.23  USD  SF/YR USD,513 Stetson St,Orange,New Jersey
"640-642 Eagle Rock Ave West Orange-Office, Retail - For Rent",1341 SF for rent in West Orange NJ offered at $400+  USD /mo,19.20 SF/YR USD,640-642 Eagle Rock Ave,West Orange,New Jersey
30 Pompton Ave Verona-Retail - For Rent,"3437 SF for rent in Verona NJ offered at $10,025  USD /mo",35.00  USD  SF/YR USD,30 Pompton Ave,Verona,New Jersey
"427-429 Bloomfield Ave Montclair-Office, Retail - For Rent","4840 SF for rent in Montclair NJ offered at $4,000+  USD /mo",30.00 SF/YR USD,427-429 Bloomfield Ave,Montclair,New Jersey
"348-360 Bloomfield Ave Montclair-Office, Office/Retail, Retail - For Rent","1400 SF for rent in Montclair NJ offered at $1,938+  USD /mo",30.00  USD  SF/YR USD,348-360 Bloomfield Ave,Montclair,New Jersey
26 S Fullerton Ave Montclair-Retail - For Rent,"770 SF for rent in Montclair NJ offered at $2,888  USD /mo",45.00  USD  SF/YR USD,26 S Fullerton Ave,Montclair,New Jersey
"80 Main St West Orange-Office, Retail - For Rent","5073 SF for rent in West Orange NJ offered at $1,032+  USD /mo",22.00 SF/YR USD,80 Main St,West Orange,New Jersey
820 Bloomfield Ave Verona-Retail - For Rent,"1400 SF for rent in Verona NJ offered at $2,217  USD /mo",19.00  USD  SF/YR USD,820 Bloomfield Ave,Verona,New Jersey
641-653 Eagle Rock Ave West Orange-Retail - For Rent,"1000 SF for rent in West Orange NJ offered at $2,833  USD /mo",34.00  USD  SF/YR USD,641-653 Eagle Rock Ave,West Orange,New Jersey
555-557 Main St Orange-Retail - For Rent,"1000 SF for rent in Orange NJ offered at $1,667  USD /mo",20.00  USD  SF/YR USD,555-557 Main St,Orange,New Jersey
"475 Bloomfield Ave Montclair-Office, Retail - For Rent",6082 SF for rent in Montclair NJ  ,,475 Bloomfield Ave,Montclair,New Jersey
540-544 Freeman St Orange-Retail - For Rent,1500 SF for rent in Orange NJ  ,,540-544 Freeman St,Orange,New Jersey
21-25 Grove Ave Verona-Retail - For Rent,826 SF for rent in Verona NJ  ,,21-25 Grove Ave,Verona,New Jersey
14 S Park St Montclair-Retail - For Rent,3800 SF for rent in Montclair NJ  ,,14 S Park St,Montclair,New Jersey
12 Pompton Ave Verona-Retail - For Rent,2400 SF for rent in Verona NJ  ,,12 Pompton Ave,Verona,New Jersey
"161 Main St West Orange-Medical, Retail - For Rent",10500 SF for rent in West Orange NJ  ,,161 Main St,West Orange,New Jersey
255 Prospect Ave West Orange-Retail - For Rent,16033 SF for rent in West Orange NJ  ,,255 Prospect Ave,West Orange,New Jersey
42 Park St Montclair-Retail - For Rent,18069 SF for rent in Montclair NJ  ,,42 Park St,Montclair,New Jersey
